Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
2009-01-01 01:00:00,996.5,-8.05,265.38,-8.78,94.4,3.33,3.14,0.19,1.96,3.15,1307.86,0.21,0.63,192.7
2009-01-01 02:00:00,996.62,-8.88,264.54,-9.77,93.2,3.12,2.9,0.21,1.81,2.91,1312.25,0.25,0.63,190.3
2009-01-01 03:00:00,996.84,-8.81,264.59,-9.66,93.5,3.13,2.93,0.2,1.83,2.94,1312.18,0.18,0.63,167.2
2009-01-01 04:00:00,996.99,-9.05,264.34,-10.02,92.6,3.07,2.85,0.23,1.78,2.85,1313.61,0.1,0.38,240.0
2009-01-01 05:00:00,997.46,-9.63,263.72,-10.65,92.2,2.94,2.71,0.23,1.69,2.71,1317.19,0.4,0.88,157.0
2009-01-01 06:00:00,997.71,-9.67,263.66,-10.62,92.7,2.93,2.71,0.21,1.69,2.72,1317.71,0.05,0.5,146.0
2009-01-01 07:00:00,998.33,-9.17,264.12,-10.1,92.9,3.04,2.83,0.22,1.76,2.83,1315.98,2.08,2.88,348.8
2009-01-01 08:00:00,999.17,-8.1,265.12,-9.05,92.8,3.31,3.07,0.24,1.92,3.08,1311.65,0.72,1.25,213.9
2009-01-01 09:00:00,999.69,-7.66,265.52,-8.84,91.2,3.43,3.13,0.3,1.95,3.13,1310.14,0.34,0.63,202.2
2009-01-01 10:00:00,1000.27,-7.04,266.1,-8.17,91.6,3.6,3.3,0.3,2.05,3.29,1307.76,1.45,3.0,292.6
2009-01-01 11:00:00,1000.87,-7.41,265.68,-8.66,90.7,3.5,3.17,0.33,1.97,3.17,1310.43,1.91,3.38,269.6
2009-01-01 12:00:00,1000.3,-6.87,266.27,-8.28,89.6,3.64,3.27,0.38,2.03,3.26,1306.98,1.84,2.63,184.4
2009-01-01 13:00:00,1000.03,-5.89,267.27,-7.46,88.6,3.93,3.48,0.45,2.17,3.48,1301.73,0.57,1.25,187.3
2009-01-01 14:00:00,999.81,-5.94,267.24,-7.43,89.1,3.92,3.49,0.43,2.17,3.49,1301.67,1.25,2.0,144.0
2009-01-01 15:00:00,999.88,-5.69,267.48,-7.0,90.4,3.99,3.61,0.38,2.25,3.61,1300.51,1.17,1.88,134.9
2009-01-01 16:00:00,999.94,-5.4,267.76,-6.86,89.4,4.08,3.65,0.43,2.27,3.65,1299.17,1.4,2.13,145.5
2009-01-01 17:00:00,1000.17,-5.37,267.78,-6.82,89.4,4.09,3.66,0.43,2.28,3.66,1299.27,0.85,1.63,142.2
2009-01-01 18:00:00,1000.16,-5.25,267.9,-6.75,89.1,4.13,3.68,0.45,2.29,3.68,1298.68,0.55,1.0,183.7
2009-01-01 19:00:00,1000.22,-5.11,268.03,-6.57,89.4,4.17,3.73,0.44,2.32,3.73,1298.07,0.41,0.75,176.7
2009-01-01 20:00:00,1000.22,-4.9,268.24,-6.38,89.3,4.24,3.79,0.45,2.36,3.78,1297.05,0.68,1.13,195.2
2009-01-01 21:00:00,1000.19,-4.8,268.35,-6.14,90.2,4.27,3.85,0.42,2.4,3.85,1296.45,0.44,0.75,206.3
2009-01-01 22:00:00,1000.0,-4.5,268.66,-5.82,90.4,4.37,3.95,0.42,2.46,3.95,1294.72,0.33,0.63,175.7
2009-01-01 23:00:00,999.77,-4.47,268.71,-5.84,90.1,4.38,3.95,0.43,2.46,3.95,1294.29,0.65,1.0,219.3
2009-01-02 00:00:00,999.59,-4.54,268.65,-5.46,93.2,4.36,4.06,0.3,2.53,4.06,1294.33,0.41,0.88,155.0
2009-01-02 01:00:00,999.34,-4.44,268.77,-5.19,94.4,4.39,4.15,0.25,2.58,4.15,1293.47,0.28,1.0,148.1
2009-01-02 02:00:00,998.93,-4.29,268.95,-5.04,94.5,4.44,4.2,0.24,2.62,4.2,1292.22,0.49,0.88,209.8
2009-01-02 03:00:00,998.69,-4.45,268.81,-5.15,94.8,4.39,4.16,0.23,2.59,4.16,1292.69,0.65,1.0,203.3
2009-01-02 04:00:00,998.32,-4.58,268.71,-5.22,95.2,4.34,4.14,0.21,2.58,4.14,1292.83,0.77,1.38,190.2
2009-01-02 05:00:00,998.1,-4.96,268.34,-5.5,96.0,4.22,4.05,0.17,2.53,4.06,1294.44,0.79,1.25,22.22
2009-01-02 06:00:00,998.0,-4.43,268.88,-4.94,96.2,4.39,4.23,0.17,2.64,4.23,1291.66,0.81,2.13,40.88
